unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_km,fare,tips,payment_type,company,pickup_location,dropoff_location
DP-82,S-240,2021-01-03 10:45:00+00:00,2021-01-03 11:15:00+00:00,33.474272,51.0,0.0,Cash,Deluc Porter,POINT (-87.913624596 41.9802643146),POINT (-87.667569312 41.8502663663)
AI-10124,AI-542,2021-01-03 12:00:00+00:00,2021-01-03 12:00:00+00:00,3.379614,9.0,0.0,Cash,Atomic Inc.,POINT (-87.6635175498 41.874005383),POINT (-87.6203346241 41.8571838585)
AI-10125,AI-889,2021-01-03 13:00:00+00:00,2021-01-03 13:15:00+00:00,5.471756,12.0,2.0,Credit Card,Atomic Inc.,POINT (-87.6635175498 41.874005383),POINT (-87.6763559892 41.9012069941)
RA-3088,RA-140,2021-01-03 13:15:00+00:00,2021-01-03 13:45:00+00:00,21.887024,36.0,8.3,Credit Card,Rocket Cab Auto,POINT (-87.913624596 41.9802643146),POINT (-87.6559981815 41.9442266014)
DP-83,P-67,2021-01-03 13:30:00+00:00,2021-01-03 14:00:00+00:00,29.129054000000004,44.75,10.05,Credit Card,Deluc Porter,POINT (-87.9030396611 41.9790708201),POINT (-87.6188683546 41.8909220259)
RA-3089,RA-341,2021-01-03 14:30:00+00:00,2021-01-03 14:45:00+00:00,25.588506,39.25,8.75,Credit Card,Rocket Cab Auto,POINT (-87.913624596 41.9802643146),POINT (-87.6333080367 41.899602111)
DP-84,S-178,2021-01-03 14:45:00+00:00,2021-01-03 15:15:00+00:00,26.715044,41.25,11.65,Credit Card,Deluc Porter,POINT (-87.913624596 41.9802643146),POINT (-87.6333080367 41.899602111)
AI-10126,AI-567,2021-01-03 15:15:00+00:00,2021-01-03 15:15:00+00:00,2.735878,8.25,0.0,Cash,Atomic Inc.,POINT (-87.642648998 41.8792550844),POINT (-87.6318639497 41.8920421365)
RA-3090,RC-497,2021-01-03 17:00:00+00:00,2021-01-03 17:15:00+00:00,25.588506,39.25,8.75,Credit Card,Rocket Cab Auto,POINT (-87.913624596 41.9802643146),POINT (-87.6333080367 41.899602111)
AI-10127,AI-757,2021-01-03 17:00:00+00:00,2021-01-03 17:00:00+00:00,0.80467,4.75,0.0,Credit Card,Atomic Inc.,POINT (-87.6635175498 41.874005383),POINT (-87.6635175498 41.874005383)
DP-85,P-237,2021-01-03 17:15:00+00:00,2021-01-03 17:30:00+00:00,23.496364,37.0,8.3,Credit Card,Deluc Porter,POINT (-87.913624596 41.9802643146),POINT (-87.6494887289 41.9226862843)
FI-1681,I-580,2021-01-03 17:30:00+00:00,2021-01-03 17:30:00+00:00,1.1265379999999998,5.0,1.5,Credit Card,Federway Int.,POINT (-87.6251921424 41.8788655841),POINT (-87.6251921424 41.8788655841)
AI-10128,AI-638,2021-01-03 17:30:00+00:00,2021-01-03 17:45:00+00:00,4.82802,11.0,0.0,Cash,Atomic Inc.,POINT (-87.6635175498 41.874005383),POINT (-87.6763559892 41.9012069941)
FI-1682,I-450,2021-01-03 18:30:00+00:00,2021-01-03 18:30:00+00:00,1.770274,6.5,0.0,Cash,Federway Int.,POINT (-87.6262149064 41.8925077809),POINT (-87.6209929134 41.8849871918)
FI-1683,I-433,2021-01-03 19:00:00+00:00,2021-01-03 19:00:00+00:00,1.770274,6.5,4.0,Credit Card,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6635175498 41.874005383)
FI-1684,I-580,2021-01-03 19:15:00+00:00,2021-01-03 19:30:00+00:00,4.184284,10.5,0.0,Cash,Federway Int.,POINT (-87.6251921424 41.8788655841),POINT (-87.6635175498 41.874005383)
FI-1685,F-591,2021-01-04 14:15:00+00:00,2021-01-04 14:15:00+00:00,1.60934,6.25,0.0,Cash,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6333080367 41.899602111)
FI-1686,F-427,2021-01-04 14:30:00+00:00,2021-01-04 14:30:00+00:00,2.41401,7.5,0.0,Cash,Federway Int.,POINT (-87.6308650266 41.9058577688),POINT (-87.6197106717 41.8950334495)
RA-3091,RC-497,2021-01-04 15:45:00+00:00,2021-01-04 16:15:00+00:00,28.16345,43.75,0.0,Cash,Rocket Cab Auto,POINT (-87.9030396611 41.9790708201),POINT (-87.6209929134 41.8849871918)
FI-1688,I-405,2021-01-04 16:00:00+00:00,2021-01-04 16:15:00+00:00,2.735878,8.25,0.0,Cash,Federway Int.,POINT (-87.6251921424 41.8788655841),POINT (-87.6203346241 41.8571838585)
FI-1687,F-583,2021-01-04 16:00:00+00:00,2021-01-04 16:00:00+00:00,1.770274,6.75,0.0,Cash,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6251921424 41.8788655841)
FI-1689,I-494,2021-01-04 16:45:00+00:00,2021-01-04 17:00:00+00:00,0.6437360000000001,4.5,0.0,Cash,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6333080367 41.899602111)
FI-1690,I-397,2021-01-04 17:30:00+00:00,2021-01-04 17:45:00+00:00,9.816974,20.0,20.0,Credit Card,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.714003807 41.8390869059)
RA-3092,RA-294,2021-01-04 18:45:00+00:00,2021-01-04 19:15:00+00:00,28.002516,43.75,9.85,Credit Card,Rocket Cab Auto,POINT (-87.9030396611 41.9790708201),POINT (-87.6209929134 41.8849871918)
FI-1691,I-449,2021-01-04 19:15:00+00:00,2021-01-04 19:15:00+00:00,1.2874720000000002,5.75,0.0,Cash,Federway Int.,POINT (-87.6251921424 41.8788655841),POINT (-87.6635175498 41.874005383)
FI-1692,F-410,2021-01-04 19:45:00+00:00,2021-01-04 19:45:00+00:00,0.5,3.25,0.0,Dispute,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6333080367 41.899602111)
FI-1693,I-573,2021-01-04 20:00:00+00:00,2021-01-04 20:30:00+00:00,17.863674,28.75,0.0,Cash,Federway Int.,POINT (-87.6251921424 41.8788655841),POINT (-87.7633990316 41.9540276487)
RA-3093,RC-169,2021-01-05 08:30:00+00:00,2021-01-05 08:45:00+00:00,26.55411,40.5,5.0,Credit Card,Rocket Cab Auto,POINT (-87.913624596 41.9802643146),POINT (-87.6333080367 41.899602111)
RA-3094,RC-275,2021-01-05 12:45:00+00:00,2021-01-05 13:00:00+00:00,21.404222,34.0,0.0,Cash,Rocket Cab Auto,POINT (-87.913624596 41.9802643146),POINT (-87.6494887289 41.9226862843)
AI-10129,AI-416,2021-01-05 12:45:00+00:00,2021-01-05 12:45:00+00:00,2.735878,8.0,1.0,Credit Card,Atomic Inc.,POINT (-87.6207628651 41.8983317935),POINT (-87.6327464887 41.8809944707)
AI-10130,A-786,2021-01-05 14:30:00+00:00,2021-01-05 14:30:00+00:00,2.253076,7.25,0.0,Cash,Atomic Inc.,POINT (-87.6635175498 41.874005383),POINT (-87.6333080367 41.899602111)
AI-10131,AI-599,2021-01-05 15:15:00+00:00,2021-01-05 15:30:00+00:00,2.41401,7.5,0.0,Cash,Atomic Inc.,POINT (-87.6209929134 41.8849871918),POINT (-87.6321092196 41.9002656868)
RA-3095,RC-131,2021-01-05 16:00:00+00:00,2021-01-05 16:15:00+00:00,8.85137,16.75,5.55,Credit Card,Rocket Cab Auto,POINT (-87.913624596 41.9802643146),POINT (-87.8045320063 41.9850151008)
AI-10132,AI-731,2021-01-05 16:00:00+00:00,2021-01-05 16:15:00+00:00,1.448406,5.5,1.38,Credit Card,Atomic Inc.,POINT (-87.6251921424 41.8788655841),POINT (-87.6333080367 41.899602111)
FI-1694,I-405,2021-01-05 16:45:00+00:00,2021-01-05 17:00:00+00:00,4.184284,10.25,0.0,Cash,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6203346241 41.8571838585)
FI-1695,F-610,2021-01-05 17:00:00+00:00,2021-01-05 17:15:00+00:00,1.770274,6.75,2.0,Credit Card,Federway Int.,POINT (-87.6327464887 41.8809944707),POINT (-87.6262149064 41.8925077809)
FI-1696,I-570,2021-01-05 17:30:00+00:00,2021-01-05 17:30:00+00:00,1.2874720000000002,6.0,2.0,Credit Card,Federway Int.,POINT (-87.6188683546 41.8909220259),POINT (-87.6378442095 41.8932163595)
AI-10133,AI-501,2021-01-05 17:45:00+00:00,2021-01-05 17:45:00+00:00,3.379614,9.75,1.95,Credit Card,Atomic Inc.,POINT (-87.6635175498 41.874005383),POINT (-87.6333080367 41.899602111)
RA-3096,RA-15,2021-01-05 18:00:00+00:00,2021-01-05 18:45:00+00:00,25.427572,41.5,9.2,Credit Card,Rocket Cab Auto,POINT (-87.913624596 41.9802643146),POINT (-87.6494887289 41.9226862843)
FI-1697,F-489,2021-01-05 18:00:00+00:00,2021-01-05 18:00:00+00:00,1.770274,6.25,3.0,Credit Card,Federway Int.,POINT (-87.6251921424 41.8788655841),POINT (-87.6333080367 41.899602111)
AI-10134,AI-555,2021-01-05 18:15:00+00:00,2021-01-05 18:15:00+00:00,0.80467,3.25,0.0,Cash,Atomic Inc.,POINT (-87.6251921424 41.8788655841),POINT (-87.6635175498 41.874005383)
AI-10135,AI-847,2021-01-05 19:00:00+00:00,2021-01-05 19:15:00+00:00,1.2874720000000002,5.5,0.0,Cash,Atomic Inc.,POINT (-87.6333080367 41.899602111),POINT (-87.6251921424 41.8788655841)
FI-1698,F-583,2021-01-05 19:15:00+00:00,2021-01-05 19:30:00+00:00,2.735878,7.75,1.0,Credit Card,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6251921424 41.8788655841)
RA-3097,RC-146,2021-01-06 09:15:00+00:00,2021-01-06 09:30:00+00:00,26.393176,40.25,2.21,Credit Card,Rocket Cab Auto,POINT (-87.913624596 41.9802643146),POINT (-87.6333080367 41.899602111)
AI-10136,AI-567,2021-01-06 13:30:00+00:00,2021-01-06 13:45:00+00:00,3.379614,9.0,0.0,Cash,Atomic Inc.,POINT (-87.642648998 41.8792550844),POINT (-87.6262105324 41.8991556134)
RA-3098,RC-184,2021-01-06 14:15:00+00:00,2021-01-06 14:45:00+00:00,19.473014,32.5,7.4,Credit Card,Rocket Cab Auto,POINT (-87.913624596 41.9802643146),POINT (-87.6875155152 41.9751709433)
AI-10137,A-631,2021-01-06 15:45:00+00:00,2021-01-06 16:00:00+00:00,1.770274,6.0,2.0,Credit Card,Atomic Inc.,POINT (-87.6251921424 41.8788655841),POINT (-87.6635175498 41.874005383)
AI-10138,AI-599,2021-01-06 16:00:00+00:00,2021-01-06 16:00:00+00:00,1.1265379999999998,5.5,1.1,Unknown,Atomic Inc.,POINT (-87.6251921424 41.8788655841),POINT (-87.6251921424 41.8788655841)
FI-1699,F-410,2021-01-06 16:00:00+00:00,2021-01-06 16:15:00+00:00,4.9889540000000006,10.75,0.0,Cash,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6559981815 41.9442266014)
AI-10139,A-843,2021-01-06 16:30:00+00:00,2021-01-06 16:45:00+00:00,3.862416,9.75,0.0,Cash,Atomic Inc.,POINT (-87.6635175498 41.874005383),POINT (-87.6339734222 41.8420761168)
DP-86,S-178,2021-01-06 17:00:00+00:00,2021-01-06 17:45:00+00:00,48.763002,72.25,16.55,Credit Card,Deluc Porter,POINT (-87.913624596 41.9802643146),POINT (-87.7696154528 41.7925923603)
AI-10140,AI-897,2021-01-06 17:00:00+00:00,2021-01-06 17:00:00+00:00,2.735878,8.0,3.0,Credit Card,Atomic Inc.,POINT (-87.6251921424 41.8788655841),POINT (-87.6333080367 41.899602111)
AI-10141,AI-600,2021-01-06 17:15:00+00:00,2021-01-06 17:15:00+00:00,3.057746,8.5,0.0,Cash,Atomic Inc.,POINT (-87.6333080367 41.899602111),POINT (-87.6333080367 41.899602111)
AI-10142,A-561,2021-01-06 17:30:00+00:00,2021-01-06 17:30:00+00:00,1.448406,6.25,0.0,Cash,Atomic Inc.,POINT (-87.6333080367 41.899602111),POINT (-87.6333080367 41.899602111)
RA-3099,RC-341,2021-01-06 17:45:00+00:00,2021-01-06 18:30:00+00:00,36.853886,57.75,0.0,Cash,Rocket Cab Auto,POINT (-87.913624596 41.9802643146),POINT (-87.6591665992 41.8090182499)
AI-10143,AI-449,2021-01-06 17:45:00+00:00,2021-01-06 18:15:00+00:00,7.724831999999999,16.0,0.0,Credit Card,Atomic Inc.,POINT (-87.6635175498 41.874005383),POINT (-87.6186777673 41.8351179863)
FI-1700,I-621,2021-01-06 18:15:00+00:00,2021-01-06 18:30:00+00:00,4.667085999999999,10.5,2.2,Credit Card,Federway Int.,POINT (-87.6251921424 41.8788655841),POINT (-87.6494887289 41.9226862843)
FI-1701,F-591,2021-01-06 19:15:00+00:00,2021-01-06 19:30:00+00:00,4.82802,12.0,0.0,Cash,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6559981815 41.9442266014)
DP-87,D-205,2021-01-06 22:45:00+00:00,2021-01-06 23:15:00+00:00,23.979166,37.25,10.0,Credit Card,Deluc Porter,POINT (-87.913624596 41.9802643146),POINT (-87.6559981815 41.9442266014)
RA-3100,RA-466,2021-01-07 09:15:00+00:00,2021-01-07 09:30:00+00:00,26.715044,40.75,6.0,Credit Card,Rocket Cab Auto,POINT (-87.913624596 41.9802643146),POINT (-87.6635175498 41.874005383)
AI-10144,AI-449,2021-01-07 10:15:00+00:00,2021-01-07 10:30:00+00:00,3.862416,10.0,0.0,Cash,Atomic Inc.,POINT (-87.6251921424 41.8788655841),POINT (-87.6635175498 41.874005383)
AI-10145,AI-600,2021-01-07 10:45:00+00:00,2021-01-07 11:15:00+00:00,26.875978,41.75,2.0,Credit Card,Atomic Inc.,POINT (-87.6635175498 41.874005383),POINT (-87.913624596 41.9802643146)
AI-10146,A-466,2021-01-07 12:45:00+00:00,2021-01-07 12:45:00+00:00,2.41401,3.25,4.0,Credit Card,Atomic Inc.,POINT (-87.642648998 41.8792550844),POINT (-87.6209929134 41.8849871918)
AI-10147,AI-449,2021-01-07 13:30:00+00:00,2021-01-07 13:45:00+00:00,4.184284,10.0,0.0,Cash,Atomic Inc.,POINT (-87.6635175498 41.874005383),POINT (-87.6635175498 41.874005383)
RA-3101,RA-248,2021-01-07 13:45:00+00:00,2021-01-07 14:00:00+00:00,27.036912,41.5,11.75,Credit Card,Rocket Cab Auto,POINT (-87.9030396611 41.9790708201),POINT (-87.6262149064 41.8925077809)
AI-10148,AI-647,2021-01-07 15:30:00+00:00,2021-01-07 15:30:00+00:00,2.735878,7.75,0.0,Cash,Atomic Inc.,POINT (-87.6635175498 41.874005383),POINT (-87.6635175498 41.874005383)
FI-1702,I-573,2021-01-07 15:45:00+00:00,2021-01-07 15:45:00+00:00,1.2874720000000002,5.5,0.0,Cash,Federway Int.,POINT (-87.6327464887 41.8809944707),POINT (-87.6209929134 41.8849871918)
FI-1703,F-527,2021-01-07 16:00:00+00:00,2021-01-07 16:00:00+00:00,0.321868,4.0,0.0,Cash,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6333080367 41.899602111)
AI-10149,AI-340,2021-01-07 16:45:00+00:00,2021-01-07 17:00:00+00:00,2.735878,8.0,0.0,Cash,Atomic Inc.,POINT (-87.6635175498 41.874005383),POINT (-87.6333080367 41.899602111)
AI-10150,AI-731,2021-01-07 17:45:00+00:00,2021-01-07 18:00:00+00:00,8.529501999999999,16.25,0.0,Cash,Atomic Inc.,POINT (-87.6251921424 41.8788655841),POINT (-87.6559981815 41.9442266014)
FI-1704,I-536,2021-01-07 17:45:00+00:00,2021-01-07 17:45:00+00:00,2.092142,7.25,0.0,Cash,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6251921424 41.8788655841)
RA-3102,RC-72,2021-01-07 18:15:00+00:00,2021-01-07 18:30:00+00:00,17.541806,29.75,0.01,Credit Card,Rocket Cab Auto,POINT (-87.913624596 41.9802643146),POINT (-87.7235831853 41.9836363072)
FI-1705,I-537,2021-01-07 18:15:00+00:00,2021-01-07 18:30:00+00:00,4.667085999999999,11.25,0.0,Cash,Federway Int.,POINT (-87.6262149064 41.8925077809),POINT (-87.642648998 41.8792550844)
DP-88,D-181,2021-01-07 18:30:00+00:00,2021-01-07 19:15:00+00:00,24.783836,39.25,3.0,Credit Card,Deluc Porter,POINT (-87.913624596 41.9802643146),POINT (-87.6763559892 41.9012069941)
AI-10151,AI-542,2021-01-07 18:30:00+00:00,2021-01-07 18:45:00+00:00,6.115492,12.5,0.0,Credit Card,Atomic Inc.,POINT (-87.6251921424 41.8788655841),POINT (-87.6559981815 41.9442266014)
FI-1706,F-583,2021-01-07 19:30:00+00:00,2021-01-07 19:30:00+00:00,2.735878,8.5,2.0,Credit Card,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6333080367 41.899602111)
AI-10152,A-458,2021-01-07 19:45:00+00:00,2021-01-07 19:45:00+00:00,2.253076,7.0,0.0,Cash,Atomic Inc.,POINT (-87.6251921424 41.8788655841),POINT (-87.6333080367 41.899602111)
FI-1707,I-385,2021-01-07 20:00:00+00:00,2021-01-07 20:15:00+00:00,4.506151999999999,10.5,2.75,Credit Card,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6763559892 41.9012069941)
AI-10153,AI-756,2021-01-07 20:00:00+00:00,2021-01-07 20:15:00+00:00,1.1265379999999998,5.0,4.0,Credit Card,Atomic Inc.,POINT (-87.6333080367 41.899602111),POINT (-87.6333080367 41.899602111)
AI-10154,AI-340,2021-01-07 20:15:00+00:00,2021-01-07 20:30:00+00:00,3.21868,8.75,0.0,Cash,Atomic Inc.,POINT (-87.6251921424 41.8788655841),POINT (-87.6333080367 41.899602111)
AI-10155,AI-369,2021-01-07 20:45:00+00:00,2021-01-07 20:45:00+00:00,0.965604,5.0,0.0,Cash,Atomic Inc.,POINT (-87.6251921424 41.8788655841),POINT (-87.6251921424 41.8788655841)
RA-3103,RA-313,2021-01-08 09:00:00+00:00,2021-01-08 09:30:00+00:00,28.324384,44.25,5.0,Credit Card,Rocket Cab Auto,POINT (-87.913624596 41.9802643146),POINT (-87.6251921424 41.8788655841)
AI-10156,A-318,2021-01-08 11:45:00+00:00,2021-01-08 12:00:00+00:00,2.735878,8.5,2.2,Credit Card,Atomic Inc.,POINT (-87.6635175498 41.874005383),POINT (-87.6333080367 41.899602111)
AI-10157,A-431,2021-01-08 12:45:00+00:00,2021-01-08 13:00:00+00:00,2.896812,9.25,3.0,Credit Card,Atomic Inc.,POINT (-87.642648998 41.8792550844),POINT (-87.6262149064 41.8925077809)
AI-10158,AI-790,2021-01-08 14:00:00+00:00,2021-01-08 14:15:00+00:00,2.896812,8.5,0.0,Cash,Atomic Inc.,POINT (-87.642648998 41.8792550844),POINT (-87.6197106717 41.8950334495)
FI-1708,I-429,2021-01-08 15:30:00+00:00,2021-01-08 15:30:00+00:00,0.5,6.25,0.0,Dispute,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6333080367 41.899602111)
DP-89,P-138,2021-01-08 15:45:00+00:00,2021-01-08 16:00:00+00:00,4.506151999999999,10.75,0.0,Credit Card,Deluc Porter,POINT (-87.913624596 41.9802643146),POINT (-87.913624596 41.9802643146)
AI-10159,A-318,2021-01-08 15:45:00+00:00,2021-01-08 16:00:00+00:00,1.770274,8.25,0.0,Cash,Atomic Inc.,POINT (-87.6635175498 41.874005383),POINT (-87.6251921424 41.8788655841)
FI-1709,F-527,2021-01-08 16:00:00+00:00,2021-01-08 16:15:00+00:00,0.5,5.5,0.0,Cash,Federway Int.,POINT (-87.6251921424 41.8788655841),POINT (-87.6333080367 41.899602111)
FI-1710,I-421,2021-01-08 16:30:00+00:00,2021-01-08 17:15:00+00:00,11.587248,28.75,0.0,Unknown,Federway Int.,POINT (-87.6251921424 41.8788655841),POINT (-87.6324245245 41.8090844303)
AI-10160,A-680,2021-01-08 17:45:00+00:00,2021-01-08 18:00:00+00:00,3.5405480000000003,12.75,0.0,Cash,Atomic Inc.,POINT (-87.6635175498 41.874005383),POINT (-87.6635175498 41.874005383)
FI-1711,I-429,2021-01-08 17:45:00+00:00,2021-01-08 18:00:00+00:00,5.310822,12.25,0.0,Cash,Federway Int.,POINT (-87.6251921424 41.8788655841),POINT (-87.6494887289 41.9226862843)
FI-1712,F-582,2021-01-08 18:15:00+00:00,2021-01-08 18:15:00+00:00,1.1265379999999998,5.75,0.0,Cash,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6333080367 41.899602111)
AI-10161,A-655,2021-01-08 18:30:00+00:00,2021-01-08 18:45:00+00:00,2.735878,9.5,0.0,Cash,Atomic Inc.,POINT (-87.6333080367 41.899602111),POINT (-87.6333080367 41.899602111)
FI-1713,F-443,2021-01-08 18:30:00+00:00,2021-01-08 18:30:00+00:00,2.735878,8.0,3.0,Credit Card,Federway Int.,POINT (-87.6251921424 41.8788655841),POINT (-87.6763559892 41.9012069941)
FI-1714,F-489,2021-01-08 19:00:00+00:00,2021-01-08 19:00:00+00:00,2.253076,7.5,0.0,Cash,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6251921424 41.8788655841)
DP-90,S-99,2021-01-08 19:30:00+00:00,2021-01-08 20:00:00+00:00,29.450922,44.75,12.4,Credit Card,Deluc Porter,POINT (-87.913624596 41.9802643146),POINT (-87.6251921424 41.8788655841)
RA-3104,RC-170,2021-01-09 08:45:00+00:00,2021-01-09 09:00:00+00:00,23.496364,36.5,8.4,Credit Card,Rocket Cab Auto,POINT (-87.913624596 41.9802643146),POINT (-87.6333080367 41.899602111)
AI-10162,A-680,2021-01-09 13:00:00+00:00,2021-01-09 13:15:00+00:00,3.379614,9.75,0.0,Cash,Atomic Inc.,POINT (-87.6635175498 41.874005383),POINT (-87.6333080367 41.899602111)
AI-10163,AI-682,2021-01-09 13:30:00+00:00,2021-01-09 13:30:00+00:00,1.770274,6.25,2.0,Credit Card,Atomic Inc.,POINT (-87.6209929134 41.8849871918),POINT (-87.642648998 41.8792550844)
RA-3105,RA-237,2021-01-09 13:45:00+00:00,2021-01-09 14:15:00+00:00,25.74944,40.25,0.0,Cash,Rocket Cab Auto,POINT (-87.913624596 41.9802643146),POINT (-87.6333080367 41.899602111)
DP-91,P-22,2021-01-09 14:00:00+00:00,2021-01-09 14:30:00+00:00,29.289988,45.0,12.35,Credit Card,Deluc Porter,POINT (-87.913624596 41.9802643146),POINT (-87.6251921424 41.8788655841)
RA-3106,RC-322,2021-01-09 14:15:00+00:00,2021-01-09 14:45:00+00:00,17.380872,30.5,0.0,No Charge,Rocket Cab Auto,POINT (-87.6333080367 41.899602111),POINT (-87.7263633246 41.8108790078)
AI-10164,AI-740,2021-01-09 14:30:00+00:00,2021-01-09 15:30:00+00:00,12.230984,32.25,0.0,Cash,Atomic Inc.,POINT (-87.6635175498 41.874005383),POINT (-87.6559981815 41.9442266014)
FI-1715,I-433,2021-01-09 16:00:00+00:00,2021-01-09 16:00:00+00:00,1.2874720000000002,5.25,0.0,Cash,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6333080367 41.899602111)
FI-1716,I-421,2021-01-09 16:15:00+00:00,2021-01-09 16:30:00+00:00,11.26538,20.25,0.0,Cash,Federway Int.,POINT (-87.6251921424 41.8788655841),POINT (-87.592310855 41.794090253)
RA-3107,RC-293,2021-01-09 16:45:00+00:00,2021-01-09 17:15:00+00:00,13.518456,23.25,5.55,Credit Card,Rocket Cab Auto,POINT (-87.7696154528 41.7925923603),POINT (-87.6635175498 41.874005383)
DP-92,S-148,2021-01-09 17:15:00+00:00,2021-01-09 17:30:00+00:00,28.646252,44.5,0.0,Cash,Deluc Porter,POINT (-87.913624596 41.9802643146),POINT (-87.6333080367 41.899602111)
AI-10165,AI-704,2021-01-09 17:15:00+00:00,2021-01-09 17:45:00+00:00,16.0934,3.25,0.0,Cash,Atomic Inc.,POINT (-87.6635175498 41.874005383),POINT (-87.7696154528 41.7925923603)
FI-1717,I-407,2021-01-09 18:30:00+00:00,2021-01-09 18:45:00+00:00,5.63269,12.0,2.5,Credit Card,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6559981815 41.9442266014)
FI-1718,F-410,2021-01-09 19:15:00+00:00,2021-01-09 19:15:00+00:00,3.057746,9.0,2.0,Credit Card,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6251921424 41.8788655841)
FI-1719,I-570,2021-01-09 19:30:00+00:00,2021-01-09 19:45:00+00:00,5.793624,12.5,4.2,Credit Card,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6494887289 41.9226862843)
FI-1720,I-450,2021-01-09 20:15:00+00:00,2021-01-09 20:15:00+00:00,1.931208,6.75,1.0,Credit Card,Federway Int.,POINT (-87.6333080367 41.899602111),POINT (-87.6251921424 41.8788655841)
