full_school_name,school_name,player_name,position,height,weight,year,hometown,state,id
Cincinnati Bearcats,Cincinnati,Tony Miliano,K,74.0,186.0,JR,"NORTH BEND, OH",OH,22
Cincinnati Bearcats,Cincinnati,Chris Moore,WR,73.0,190.0,SO,"TAMPA, FL",FL,23
Cincinnati Bearcats,Cincinnati,Michael Colosimo,QB,75.0,216.0,JR,"FORT MITCHELL, KY",KY,24
Cincinnati Bearcats,Cincinnati,Jeremy Graves,WR,74.0,190.0,SO,"CLEVELAND, OH",OH,25
Cincinnati Bearcats,Cincinnati,Tyler Cogswell,TE,76.0,248.0,FR,"PLANTATION, FL",FL,26
Cincinnati Bearcats,Cincinnati,Derek Cox,DB,75.0,186.0,SR,"MASON, OH",OH,27
Cincinnati Bearcats,Cincinnati,Shaq Washington,WR,69.0,174.0,SO,"MAPLE HEIGHTS, OH",OH,28
Cincinnati Bearcats,Cincinnati,Tshumbi Johnson,WR,71.0,175.0,FR,"IMMOKALEE, FL",FL,29
Cincinnati Bearcats,Cincinnati,Rodriguez Moore,RB,70.0,176.0,JR,"BASTROP, LA",LA,30
Cincinnati Bearcats,Cincinnati,Zach Edwards,S,71.0,186.0,FR,"MIDDLETOWN, OH",OH,31
Cincinnati Bearcats,Cincinnati,Hosey Williams,RB,69.0,199.0,JR,"MIAMI, FL",FL,32
Cincinnati Bearcats,Cincinnati,Eric Wilson,LB,74.0,205.0,FR,"REDFORD, MI",MI,33
Cincinnati Bearcats,Cincinnati,Chris Burrell,WR,66.0,160.0,JR,"WESTWOOD, NJ",NJ,34
Cincinnati Bearcats,Cincinnati,John Lloyd,P,74.0,237.0,JR,"CINCINNATI, OH",OH,35
Cincinnati Bearcats,Cincinnati,Arryn Chenault,S,73.0,208.0,SR,"CINCINNATI, OH",OH,36
Cincinnati Bearcats,Cincinnati,Rob Rice,RB,70.0,178.0,SR,"CINCINNATI, OH",OH,37
Cincinnati Bearcats,Cincinnati,Braxton Lane,S,71.0,202.0,FR,"TYRONE, GA",GA,38
Cincinnati Bearcats,Cincinnati,Drake Bruns,DB,73.0,201.0,FR,"FORT THOMAS, KY",KY,39
Cincinnati Bearcats,Cincinnati,Andre Jones,S,73.0,197.0,FR,"CINCINNATI, OH",OH,40
Cincinnati Bearcats,Cincinnati,Darren Doston,S,74.0,195.0,JR,"DAYTONA BEACH, FL",FL,41
Cincinnati Bearcats,Cincinnati,Zach Higgenbotham,LB,73.0,211.0,FR,"CINCINNATI, OH",OH,42
Cincinnati Bearcats,Cincinnati,Solomon Tentman,LB,74.0,237.0,JR,"CINCINNATI, OH",OH,43
Cincinnati Bearcats,Cincinnati,Tim Helton,WR,74.0,189.0,FR,"CLEVELAND, OH",OH,44
Cincinnati Bearcats,Cincinnati,Dylan Coombs,CB,73.0,182.0,FR,"CINCINNATI, OH",OH,45
Cincinnati Bearcats,Cincinnati,Josh Russ,TE,77.0,240.0,JR,"ELYRIA, OH",OH,46
Cincinnati Bearcats,Cincinnati,Marcus Foster,S,73.0,204.0,FR,"TROY, OH",OH,47
Cincinnati Bearcats,Cincinnati,Lindsay Crook,LB,74.0,222.0,FR,"CINCINNATI, OH",OH,48
Cincinnati Bearcats,Cincinnati,Mason Antoun,LB,73.0,225.0,SO,"CINCINNATI, OH",OH,49
Cincinnati Bearcats,Cincinnati,EJ Junior,FB,73.0,222.0,SR,"MIDDLETOWN, OH",OH,50
Cincinnati Bearcats,Cincinnati,Kyle Nutter,FB,71.0,230.0,FR,"GENOA, OH",OH,51
Cincinnati Bearcats,Cincinnati,Kevin Brown,LB,73.0,206.0,SO,"INDIANAPOLIS, IN",IN,52
Cincinnati Bearcats,Cincinnati,Kevin Hyland,LB,74.0,230.0,SO,"CINCINNATI, OH",OH,53
Cincinnati Bearcats,Cincinnati,Jared Golden,FB,73.0,240.0,SO,"GALLIPOLIS, OH",OH,54
Cincinnati Bearcats,Cincinnati,Nick Temple,LB,70.0,218.0,JR,"INDIANAPOLIS, IN",IN,55
Cincinnati Bearcats,Cincinnati,Corey Mason,LB,75.0,223.0,JR,"CINCINNATI, OH",OH,56
Cincinnati Bearcats,Cincinnati,Ey'Shawn McClain,LB,73.0,234.0,FR,"JACKSONVILLE, FL",FL,57
Cincinnati Bearcats,Cincinnati,Mitch Meador,DT,76.0,290.0,SR,"GREENWOOD, IN",IN,58
Cincinnati Bearcats,Cincinnati,Jon Vincent,LS,74.0,210.0,SR,--,--,59
Cincinnati Bearcats,Cincinnati,Jeff Luc,LB,73.0,251.0,JR,"PORT SAINT LUCIE, FL",FL,60
Cincinnati Bearcats,Cincinnati,Anthony King,RB,71.0,219.0,SR,"CHICAGO, IL",IL,61
Cincinnati Bearcats,Cincinnati,Alex Pace,DL,74.0,282.0,FR,"CLEVELAND, OH",OH,62
Cincinnati Bearcats,Cincinnati,Greg Blair,LB,74.0,252.0,SR,"PITTSBURGH, PA",PA,63
Cincinnati Bearcats,Cincinnati,Elijah Shuler,DE,75.0,257.0,SR,"NORTH BRANFORD, CT",CT,64
Cincinnati Bearcats,Cincinnati,Franklin Bruscianelli,LB,73.0,221.0,FR,"WOODRIDGE, IL",IL,65
Cincinnati Bearcats,Cincinnati,Andrew Gantz,K,69.0,158.0,FR,"DAYTON, OH",OH,66
Cincinnati Bearcats,Cincinnati,Mark Wilson,DE,75.0,225.0,FR,"HAMPTON, VA",VA,67
Cincinnati Bearcats,Cincinnati,Clemente Casseus,LB,73.0,227.0,JR,"MIAMI, FL",FL,68
Cincinnati Bearcats,Cincinnati,Sam Geraci,P,74.0,212.0,FR,"CINCINNATI, OH",OH,69
Cincinnati Bearcats,Cincinnati,Dwight Jackson,DE,73.0,213.0,JR,"MIAMI, FL",FL,70
Cincinnati Bearcats,Cincinnati,Deyshawn Bond,OL,74.0,287.0,FR,"INDIANAPOLIS, IN",IN,71
Cincinnati Bearcats,Cincinnati,Sam Longo,OL,77.0,305.0,SR,"SPRING VALLEY, OH",OH,72
Cincinnati Bearcats,Cincinnati,Kirk Willis,LS,74.0,231.0,SO,"GRANVILLE, OH",OH,73
Cincinnati Bearcats,Cincinnati,Cory Keebler,OL,79.0,294.0,JR,"LIBERTY TOWNSHIP, OH",OH,74
Cincinnati Bearcats,Cincinnati,Dan Sprague,OL,75.0,290.0,SR,"WORTHINGTON, OH",OH,75
Cincinnati Bearcats,Cincinnati,Will Steur,OL,76.0,303.0,FR,"CINCINNATI, OH",OH,76
Cincinnati Bearcats,Cincinnati,Tyreek Burwell,OL,77.0,230.0,SR,"HUNTINGTON STATION, NY",NY,77
Cincinnati Bearcats,Cincinnati,Connor Donnini,DT,70.0,293.0,SO,"DAYTON, OH",OH,78
Cincinnati Bearcats,Cincinnati,David Niehaus,OL,73.0,288.0,FR,"CINCINNATI, OH",OH,79
Cincinnati Bearcats,Cincinnati,Kyle Williamson,OL,77.0,281.0,FR,"MADEIRA, OH",OH,80
Cincinnati Bearcats,Cincinnati,Dominic Mainello,OL,75.0,280.0,JR,"FORT MITCHELL, KY",KY,81
Cincinnati Bearcats,Cincinnati,Brandon Mitchell,DL,74.0,308.0,SO,"CINCINNATI, OH",OH,82
Cincinnati Bearcats,Cincinnati,Eric Lefeld,OL,78.0,309.0,JR,"COLDWATER, OH",OH,83
Cincinnati Bearcats,Cincinnati,Garrett Campbell,OL,77.0,308.0,FR,"CINCINNATI, OH",OH,84
Cincinnati Bearcats,Cincinnati,Ryan Leahy,OL,78.0,282.0,FR,"CINCINNATI, OH",OH,85
Cincinnati Bearcats,Cincinnati,Justin Murray,OL,77.0,294.0,SO,"CINCINNATI, OH",OH,86
Cincinnati Bearcats,Cincinnati,Kevin Schloemer,OL,79.0,312.0,JR,"LIBERTY TOWNSHIP, OH",OH,87
Cincinnati Bearcats,Cincinnati,Austen Bujnoch,OL,77.0,290.0,SR,"CINCINNATI, OH",OH,88
Cincinnati Bearcats,Cincinnati,Parker Ehinger,OL,79.0,292.0,SO,"ROCKFORD, MI",MI,89
Cincinnati Bearcats,Cincinnati,Andre Cureton,OL,78.0,310.0,SR,"INDIANAPOLIS, IN",IN,90
Cincinnati Bearcats,Cincinnati,Alex Chisum,WR,75.0,195.0,JR,"FAYETTEVILLE, GA",GA,91
Cincinnati Bearcats,Cincinnati,DJ Dowdy,TE,76.0,223.0,FR,"AKRON, OH",OH,92
Cincinnati Bearcats,Cincinnati,Max Morrison,WR,73.0,173.0,SO,"KENTON, OH",OH,93
Cincinnati Bearcats,Cincinnati,Chris Burton,TE,75.0,272.0,FR,"DANVILLE, VA",VA,94
Cincinnati Bearcats,Cincinnati,Nate Cole,WR,73.0,193.0,FR,"MEMPHIS, TN",TN,95
Cincinnati Bearcats,Cincinnati,Travis Johnson,TE,76.0,249.0,FR,"TAMPA, FL",FL,96
Cincinnati Bearcats,Cincinnati,Blake Annen,TE,77.0,250.0,SR,"UPPER ARLINGTON, OH",OH,97
Cincinnati Bearcats,Cincinnati,Jacob Giltrow,WR,72.0,190.0,SR,"WEST CHESTER, OH",OH,98
Cincinnati Bearcats,Cincinnati,Javon Harrison,WR,73.0,200.0,FR,"DAYTON, OH",OH,99
Cincinnati Bearcats,Cincinnati,Shakim Alonzo,WR,76.0,218.0,FR,"PITTSBURGH, PA",PA,100
Cincinnati Bearcats,Cincinnati,Korey Cunningham,DE,77.0,254.0,FR,"MONTEVALLO, AL",AL,101
Cincinnati Bearcats,Cincinnati,Camaron Beard,DT,77.0,287.0,JR,"INDIANAPOLIS, IN",IN,102
Cincinnati Bearcats,Cincinnati,Adam Dempsey,DT,74.0,285.0,SR,"FORT THOMAS, KY",KY,103
Cincinnati Bearcats,Cincinnati,Silverberry Mouhon,DL,76.0,248.0,SO,"NORCROSS, GA",GA,104
Cincinnati Bearcats,Cincinnati,Brad Harrah,DE,77.0,258.0,JR,"MARION, OH",OH,105
Cincinnati Bearcats,Cincinnati,Jordan Stepp,DL,73.0,285.0,SR,"INDIANAPOLIS, IN",IN,106
Cincinnati Bearcats,Cincinnati,Terrell Hartsfield,DE,75.0,246.0,JR,"WAKE FOREST, NC",NC,107
Cincinnati Bearcats,Cincinnati,Josh Posley,DE,73.0,252.0,SO,"INDIANAPOLIS, IN",IN,108
Cincinnati Bearcats,Cincinnati,Marques Aiken,DT,77.0,275.0,SR,"LAUDERHILL, FL",FL,109
Cincinnati Bearcats,Cincinnati,Chad West,DE,78.0,262.0,SO,"PERRY, OH",OH,110
Cincinnati Bearcats,Cincinnati,Jerrell Jordan,DE,75.0,248.0,JR,"ALTA VISTA, IA",IA,111
Connecticut Huskies,Connecticut,Dhameer Bradley,WR,69.0,168.0,FR,"NEW CASTLE, DE",DE,112
Connecticut Huskies,Connecticut,Graham Stewart,LB,73.0,237.0,SO,"DURHAM, CT",CT,113
Connecticut Huskies,Connecticut,Kivon Taylor,QB,75.0,191.0,FR,"ATLANTA, GA",GA,114
Connecticut Huskies,Connecticut,David Stevenson,CB,68.0,175.0,SO,"STONE MOUNTAIN, GA",GA,115
Connecticut Huskies,Connecticut,Deshon Foxx,WR,70.0,170.0,JR,"LYNCHBURG, VA",VA,116
Connecticut Huskies,Connecticut,Chris DeBerry,QB,72.0,180.0,JR,"TORRINGTON, CT",CT,117
Connecticut Huskies,Connecticut,Jhavon Williams,CB,70.0,188.0,FR,"WELLINGTON, FL",FL,118
Connecticut Huskies,Connecticut,John Green,WR,70.0,177.0,FR,"MIAMI, FL",FL,119
Connecticut Huskies,Connecticut,Shakim Phillips,WR,73.0,204.0,JR,"PATERSON, NJ",NJ,120
Connecticut Huskies,Connecticut,Kamal Abrams,WR,70.0,183.0,JR,"DOVER, DE",DE,121
Connecticut Huskies,Connecticut,Cameron Stapleton,DE,75.0,209.0,FR,"STATEN ISLAND, NY",NY,122
Connecticut Huskies,Connecticut,Chandler Whitmer,QB,73.0,195.0,JR,"NEWNAN, GA",GA,123
Connecticut Huskies,Connecticut,Javon Hadley,CB,69.0,156.0,FR,"MIAMI, FL",FL,124
Connecticut Huskies,Connecticut,Scott McCummings,QB,74.0,240.0,JR,"NATICK, MA",MA,125
Connecticut Huskies,Connecticut,Casey Cochran,QB,73.0,230.0,FR,"MONROE, CT",CT,126
Connecticut Huskies,Connecticut,Chad Christen,K,73.0,192.0,SR,"ETTERS, PA",PA,127
Connecticut Huskies,Connecticut,Tony Tully,WR,69.0,179.0,SR,--,--,128
Connecticut Huskies,Connecticut,Tim Boyle,QB,75.0,207.0,FR,"MIDDLEFIELD, CT",CT,129
Connecticut Huskies,Connecticut,Ty-Meer Brown,S,72.0,197.0,JR,"MCKEESPORT, PA",PA,130
Connecticut Huskies,Connecticut,Liam Sallquist,TE,76.0,225.0,FR,"CINCINNATI, OH",OH,131
Connecticut Huskies,Connecticut,Byron Jones,CB,73.0,190.0,JR,"NEW BRITAIN, CT",CT,132
Connecticut Huskies,Connecticut,Bobby Puyol,K,70.0,170.0,SO,"NORTH PALM BEACH, FL",FL,133
Connecticut Huskies,Connecticut,Michael Ecke,QB,72.0,175.0,FR,"CHESHIRE, CT",CT,134
Connecticut Huskies,Connecticut,Ellis Marder,CB,73.0,193.0,FR,"WINDERMERE, FL",FL,135
Connecticut Huskies,Connecticut,Obi Melifonwu,S,76.0,208.0,FR,"SOUTH GRAFTON, MA",MA,136
Connecticut Huskies,Connecticut,Joseph Williams,RB,71.0,202.0,SO,"ALLENTOWN, PA",PA,137
Connecticut Huskies,Connecticut,Andrew Adams,S,72.0,190.0,SO,"FAYETTEVILLE, GA",GA,138
Connecticut Huskies,Connecticut,Wilbert Lee,S,73.0,204.0,SO,"BROOKLYN, NY",NY,139
Connecticut Huskies,Connecticut,Noel Thomas,WR,73.0,181.0,FR,"NORWALK, CT",CT,140
Connecticut Huskies,Connecticut,Martin Hyppolite,RB,72.0,217.0,SR,"WAKEFIELD, MA",MA,141
Connecticut Huskies,Connecticut,Carlos Martinez,DB,72.0,195.0,SR,--,--,142
Connecticut Huskies,Connecticut,Joshua Marriner,RB,68.0,187.0,FR,"CHESAPEAKE, VA",VA,143
Connecticut Huskies,Connecticut,Tyree Clark,CB,70.0,191.0,SO,"TAMPA, FL",FL,144
Connecticut Huskies,Connecticut,Jordan Floyd,S,72.0,213.0,FR,"BEL AIR, MD",MD,145
Connecticut Huskies,Connecticut,Jonathan Hryniewicz,WR,72.0,180.0,SR,--,--,146
Connecticut Huskies,Connecticut,Taylor Mack,CB,69.0,173.0,SR,"POWDER SPRINGS, GA",GA,147
Connecticut Huskies,Connecticut,Jalen Stevens,DE,74.0,205.0,FR,"GOOSE CREEK, SC",SC,148
Connecticut Huskies,Connecticut,Donald Slater,LB,71.0,225.0,SR,--,--,149
Connecticut Huskies,Connecticut,Jefferson Ashiru,LB,73.0,233.0,SO,"POWDER SPRINGS, GA",GA,150
Connecticut Huskies,Connecticut,Yawin Smallwood,LB,75.0,244.0,JR,"WORCESTER, MA",MA,151
Connecticut Huskies,Connecticut,Jazzmar Clax,FB,71.0,239.0,FR,"FREEHOLD, NJ",NJ,152
Connecticut Huskies,Connecticut,Zach Taylor,LB,72.0,196.0,SO,"RANCHO SANTA FE, CA",CA,153
Connecticut Huskies,Connecticut,Matthew Walsh,FB,72.0,227.0,FR,"MADISON, CT",CT,154
Connecticut Huskies,Connecticut,Jeremy Claflin,S,73.0,204.0,SO,"WEST HARTFORD, CT",CT,155
Connecticut Huskies,Connecticut,William Weyrauch,RB,70.0,210.0,SR,--,--,156
Connecticut Huskies,Connecticut,Junior Joseph,LB,72.0,242.0,FR,"SINKING SPRING, PA",PA,157
Connecticut Huskies,Connecticut,Brendan Battles-Santos,DE,75.0,256.0,FR,"EASTHAM, MA",MA,158
Connecticut Huskies,Connecticut,Brandon Steg,LB,74.0,232.0,JR,"CORAL SPRINGS, FL",FL,159
Connecticut Huskies,Connecticut,Justin Wain,P,75.0,202.0,FR,"WILMINGTON, NC",NC,160
Connecticut Huskies,Connecticut,Lyle McCombs,RB,68.0,169.0,JR,"STATEN ISLAND, NY",NY,161
Connecticut Huskies,Connecticut,Max DeLorenzo,RB,72.0,211.0,SO,"BERLIN, CT",CT,162
Connecticut Huskies,Connecticut,Elijah Norris,DE,75.0,247.0,SO,"UPPER MARLBORO, MD",MD,163
Connecticut Huskies,Connecticut,Marquise Vann,LB,72.0,227.0,SO,"CINCINNATI, OH",OH,164
Connecticut Huskies,Connecticut,Reuben Frank,DE,75.0,255.0,JR,"POUGHKEEPSIE, NY",NY,165
Connecticut Huskies,Connecticut,Alex Haendler,LB,70.0,196.0,FR,--,--,166
Connecticut Huskies,Connecticut,Sean McQuillan,TE,76.0,237.0,SO,"GLASTONBURY, CT",CT,167
Connecticut Huskies,Connecticut,Tyler Bullock,G,76.0,313.0,SR,"MECHANICSBURG, PA",PA,168
Connecticut Huskies,Connecticut,Samuel Murphy,OL,78.0,247.0,FR,"FAIRFIELD, CT",CT,169
Connecticut Huskies,Connecticut,Tim Willman,DE,76.0,267.0,SR,"FULTON, MD",MD,170
Connecticut Huskies,Connecticut,Ryan Donohue,LB,72.0,236.0,SR,"MONTVALE, NJ",NJ,171
Connecticut Huskies,Connecticut,Andreas Knappe,DL,81.0,288.0,FR,"SILOAM, GA",GA,172
Connecticut Huskies,Connecticut,Omaine Stephens,LB,74.0,224.0,FR,"EAST ORANGE, NJ",NJ,173
Connecticut Huskies,Connecticut,Jon Hicks,LB,74.0,237.0,FR,"PALMYRA, PA",PA,174
Connecticut Huskies,Connecticut,Angelo Pruitt,DT,75.0,297.0,JR,"CINCINNATI, OH",OH,175
Connecticut Huskies,Connecticut,Cole Ormsby,DE,74.0,245.0,FR,"WINDSOR, CT",CT,176
Connecticut Huskies,Connecticut,Brendan Vechery,OL,77.0,306.0,FR,"ASHBURN, VA",VA,177
Connecticut Huskies,Connecticut,Shamar Stephen,DT,77.0,323.0,SR,"BROOKVIEW, NY",NY,178
Connecticut Huskies,Connecticut,Tyler Samra,G,74.0,289.0,SO,"WYCKOFF, NJ",NJ,179
Connecticut Huskies,Connecticut,Jacob Basilica,OL,74.0,282.0,FR,"OAKDALE, CT",CT,180
Connecticut Huskies,Connecticut,Thomas Hopkins,OT,77.0,314.0,FR,"HAWTHORNE, NY",NY,181
Connecticut Huskies,Connecticut,Gus Cruz,G,74.0,303.0,JR,"MANCHESTER, NH",NH,182
Connecticut Huskies,Connecticut,Dominick Manco,LS,73.0,226.0,SO,"LAGRANGEVILLE, NY",NY,183
Connecticut Huskies,Connecticut,Adam Mueller,LS,73.0,228.0,JR,"PARK RIDGE, IL",IL,184
Connecticut Huskies,Connecticut,Bryan Paull,C,75.0,312.0,JR,"PARKLAND, FL",FL,185
Connecticut Huskies,Connecticut,Steve Greene,G,77.0,308.0,SR,"EBENSBURG, PA",PA,186
Connecticut Huskies,Connecticut,Kyle Bockeloh,C,75.0,282.0,FR,"HOUSTON, TX",TX,187
Connecticut Huskies,Connecticut,Richard Levy,OT,77.0,312.0,FR,"TRENTON, NJ",NJ,188
Connecticut Huskies,Connecticut,Jimmy Bennett,OT,81.0,306.0,SR,"ALEXANDRIA, VA",VA,189
Connecticut Huskies,Connecticut,Alex Mateas,G,76.0,305.0,JR,"OTTAWA, IL",IL,190
Connecticut Huskies,Connecticut,Paul Nwokeji,OT,78.0,279.0,SO,"RANDOLPH, MA",MA,191
Connecticut Huskies,Connecticut,Xavier Hemingway,OT,76.0,277.0,SO,"POWDER SPRINGS, GA",GA,192
Connecticut Huskies,Connecticut,Zach Rugg,G,76.0,296.0,FR,"WINDBER, PA",PA,193
Connecticut Huskies,Connecticut,Kevin Friend,OT,78.0,304.0,SR,"WARRENTON, VA",VA,194
Connecticut Huskies,Connecticut,Dalton Gifford,OT,77.0,303.0,SO,"FAIRHAVEN, MA",MA,195
Connecticut Huskies,Connecticut,Kyle Schafenacker,G,74.0,296.0,FR,"COOPER CITY, FL",FL,196
Connecticut Huskies,Connecticut,Tommy Myers,TE,76.0,238.0,FR,"COVENTRY, CT",CT,197
Connecticut Huskies,Connecticut,John-Luke Bogue,WR,72.0,178.0,SO,--,--,198
Connecticut Huskies,Connecticut,Frank Guardi,WR,72.0,188.0,SR,"NEW FAIRFIELD, CT",CT,199
Connecticut Huskies,Connecticut,Quinn Thompson,TE,76.0,222.0,FR,"EDINBORO, PA",PA,200
Connecticut Huskies,Connecticut,Brian Lemelle,WR,69.0,158.0,FR,"HARRISBURG, PA",PA,201
Connecticut Huskies,Connecticut,Geremy Davis,WR,74.0,217.0,JR,"LAWRENCEVILLE, GA",GA,202
Connecticut Huskies,Connecticut,Cole Wagner,P,74.0,200.0,SR,"YORK, PA",PA,203
Connecticut Huskies,Connecticut,Ryan Wengryn,K,69.0,169.0,SO,"WARWICK, NY",NY,204
Connecticut Huskies,Connecticut,Thomas Lucas,WR,73.0,188.0,FR,"SILVER SPRING, MD",MD,205
Connecticut Huskies,Connecticut,Nick Vitale,WR,69.0,185.0,SO,"MADISON, CT",CT,206
Connecticut Huskies,Connecticut,Julian Campenni,DT,72.0,283.0,SO,"WEST PITTSTON, PA",PA,207
Connecticut Huskies,Connecticut,Michael Boland,TE,76.0,248.0,FR,--,--,208
Connecticut Huskies,Connecticut,Jesse Joseph,DE,75.0,262.0,SR,"LAVALE, MD",MD,209
Connecticut Huskies,Connecticut,Mikal Myers,DT,72.0,310.0,FR,"NEWBURGH, NY",NY,210
Connecticut Huskies,Connecticut,Folorunso Fatukasi,DL,75.0,290.0,FR,"FAR ROCKAWAY, NY",NY,211
Connecticut Huskies,Connecticut,Rick Harrison,K,70.0,188.0,FR,"OLD LYME, CT",CT,212
Connecticut Huskies,Connecticut,Kenton Adeyemi,DT,76.0,268.0,SO,"WETHERSFIELD, CT",CT,213
Connecticut Huskies,Connecticut,Spencer Parker,TE,76.0,223.0,SR,"NEWINGTON, CT",CT,214
Connecticut Huskies,Connecticut,B.J. McBryde,DE,77.0,316.0,JR,"BEAVER FALLS, PA",PA,215
Connecticut Huskies,Connecticut,Blake Feagles,P,71.0,195.0,FR,"RIDGEWOOD, NJ",NJ,216
Connecticut Huskies,Connecticut,Sean Marinan,DE,71.0,251.0,FR,"HIGGANUM, CT",CT,217
Houston Cougars,Houston,Greg Ward Jr.,QB,70.0,175.0,FR,"TYLER, TX",TX,218
Houston Cougars,Houston,Donald Gage,WR,71.0,175.0,FR,"ZACHARY, LA",LA,219
Houston Cougars,Houston,Kent London,DB,74.0,215.0,JR,"SAN JOSE, CA",CA,220
Houston Cougars,Houston,Deontay Greenberry,WR,75.0,198.0,SO,"FRESNO, CA",CA,221
Houston Cougars,Houston,William Jackson,DB,73.0,175.0,SO,"HOUSTON, TX",TX,222
Houston Cougars,Houston,Trevon Randle,LB,74.0,218.0,SO,"LEAGUE CITY, TX",TX,223
Houston Cougars,Houston,Daniel Spencer,WR,71.0,195.0,JR,"GRANDVIEW, TX",TX,224
Houston Cougars,Houston,John O'Korn,QB,76.0,205.0,FR,"FORT LAUDERDALE, FL",FL,225
Houston Cougars,Houston,Turon Walker,DB,71.0,190.0,JR,"STOCKTON, CA",CA,226
Houston Cougars,Houston,Larry McDuffey,WR,70.0,162.0,SO,"GALENA PARK, TX",TX,227
Houston Cougars,Houston,William Moore,DE,74.0,233.0,JR,"HOUSTON, TX",TX,228
Houston Cougars,Houston,David Piland,QB,75.0,196.0,JR,"SOUTHLAKE, TX",TX,229
Houston Cougars,Houston,Caleb Tucker,LB,74.0,223.0,FR,"MONROE, LA",LA,230
Houston Cougars,Houston,Billy Cosh,QB,73.0,202.0,JR,"ANNAPOLIS, MD",MD,231
Houston Cougars,Houston,Demarcus Ayers,WR,70.0,173.0,FR,"LANCASTER, TX",TX,232
Houston Cougars,Houston,Zachary McMillian,DB,70.0,178.0,SR,"MISSOURI CITY, TX",TX,233
Houston Cougars,Houston,D'Juan Hines,WR,74.0,203.0,FR,"SPRING, TX",TX,234
Houston Cougars,Houston,Thomas Bates,DB,70.0,183.0,SR,"BAYTOWN, TX",TX,235
Houston Cougars,Houston,Kyle Postma,QB,74.0,180.0,FR,"KATY, TX",TX,236
Houston Cougars,Houston,Jarrett Irving,DB,70.0,191.0,FR,"SPRING, TX",TX,237
Houston Cougars,Houston,Aaron Johnson,WR,72.0,207.0,JR,"LONGVIEW, TX",TX,238
Houston Cougars,Houston,Richie Leone,K,75.0,215.0,SR,"ROSWELL, GA",GA,239
Houston Cougars,Houston,Adrian McDonald,DB,70.0,191.0,SO,"LAWTON, OK",OK,240
Houston Cougars,Houston,Chauntez Jackson,TE,76.0,254.0,FR,"INGLEWOOD, CA",CA,241
Houston Cougars,Houston,Lee Hightower,DB,74.0,192.0,JR,"INGLEWOOD, CA",CA,242
Houston Cougars,Houston,Casey Martin,WR,69.0,175.0,SO,"HUFFMAN, TX",TX,243
Houston Cougars,Houston,Marcus Dillard,DB,70.0,174.0,SO,"DUNCAN, SC",SC,244
Houston Cougars,Houston,Shane Ros,WR,70.0,200.0,SR,"KATY, TX",TX,245
Houston Cougars,Houston,Colton Valencia,DB,71.0,189.0,SR,"MISSOURI CITY, TX",TX,246
Houston Cougars,Houston,Markeith Ambles,WR,74.0,215.0,JR,"MCDONOUGH, GA",GA,247
Houston Cougars,Houston,Eric Eiland,DE,74.0,236.0,SO,"HOUSTON, TX",TX,248
