 Age , Gender , Income_Level , Marital_Status , Education_Level , Occupation , Purchase_Category , Purchase_Amount , Frequency_of_Purchase , Purchase_Channel , Brand_Loyalty , Product_Rating , Time_Spent_on_Product_Research(hours) , Social_Media_Influence , Discount_Sensitivity , Return_Rate , Customer_Satisfaction , Engagement_with_Ads , Device_Used_for_Shopping , Payment_Method , Time_of_Purchase , Discount_Used , Customer_Loyalty_Program_Member , Purchase_Intent , Shipping_Preference , Time_to_Decision 
35.0,Female,Middle,Widowed,High School,Middle,Luxury Goods,$286.43 ,4.0,Mixed,1.0,3.0,0.0,High,Very Sensitive,2.0,3.0,,Desktop,Cash,7/12/2024,True,False,Wants-based,Express,14.0
19.0,Genderfluid,High,Widowed,High School,High,Health Care,$333.32 ,8.0,Online,1.0,5.0,0.0,Low,Very Sensitive,0.0,3.0,High,Smartphone,Credit Card,10/5/2024,True,False,Planned,No Preference,3.0
46.0,Bigender,High,Single,Master's,High,Electronics,$223.47 ,9.0,Mixed,2.0,1.0,1.0,High,Somewhat Sensitive,0.0,2.0,,Tablet,Debit Card,9/20/2024,True,True,Need-based,Standard,8.0
23.0,Male,Middle,Divorced,Master's,Middle,Sports & Outdoors,$414.83 ,2.0,Mixed,2.0,4.0,0.5,High,Somewhat Sensitive,2.0,4.0,High,Desktop,Credit Card,7/16/2024,False,False,Planned,Express,8.0
34.0,Female,High,Widowed,Master's,High,Books,$391.38 ,5.0,In-Store,5.0,2.0,2.0,Low,Not Sensitive,0.0,7.0,Low,Tablet,Other,4/2/2024,False,False,Need-based,No Preference,8.0
48.0,Male,Middle,Divorced,Bachelor's,High,Furniture,$368.40 ,11.0,Online,2.0,5.0,1.0,High,Not Sensitive,0.0,3.0,High,,Credit Card,6/21/2024,False,False,Need-based,No Preference,13.0
27.0,Bigender,Middle,Widowed,High School,Middle,Furniture,$328.36 ,11.0,In-Store,1.0,4.0,2.0,High,Very Sensitive,0.0,4.0,,Tablet,Cash,3/11/2024,False,True,Wants-based,Express,4.0
37.0,Female,Middle,Divorced,Bachelor's,Middle,Home Appliances,$424.39 ,9.0,Mixed,3.0,1.0,1.0,High,Somewhat Sensitive,0.0,7.0,Low,Smartphone,Credit Card,2/26/2024,True,False,Wants-based,No Preference,13.0
47.0,Male,High,Married,High School,High,,$197.12 ,10.0,In-Store,4.0,4.0,0.0,Low,Somewhat Sensitive,1.0,1.0,Medium,Tablet,Other,6/14/2024,True,True,Wants-based,Standard,10.0
45.0,Male,High,Single,Bachelor's,High,Books,$454.57 ,9.0,Mixed,2.0,5.0,1.0,Low,Somewhat Sensitive,0.0,1.0,Medium,Smartphone,Debit Card,3/24/2024,True,True,Wants-based,Express,1.0
37.0,Male,Middle,Divorced,High School,,Electronics,$298.38 ,4.0,Mixed,3.0,4.0,2.0,High,Very Sensitive,0.0,2.0,Low,,Cash,4/27/2024,False,True,Need-based,Standard,3.0
36.0,Male,High,Divorced,High School,High,Clothing,$111.70 ,6.0,Online,4.0,5.0,0.0,Medium,Somewhat Sensitive,2.0,5.0,High,Tablet,Credit Card,11/7/2024,False,False,Planned,Standard,7.0
34.0,Male,Middle,Married,Bachelor's,Middle,Clothing,$373.69 ,10.0,Online,3.0,2.0,2.0,Medium,Not Sensitive,1.0,8.0,,Tablet,Credit Card,12/4/2024,False,True,Impulsive,Express,14.0
37.0,Male,High,Widowed,Master's,Middle,Jewelry & Accessories,$354.87 ,,In-Store,1.0,1.0,0.0,,Not Sensitive,2.0,4.0,,Desktop,Cash,4/18/2024,False,True,,Express,
18.0,Female,Middle,Widowed,Bachelor's,High,Mobile Accessories,$214.48 ,2.0,Online,4.0,2.0,2.0,,Very Sensitive,1.0,3.0,,Tablet,Cash,4/21/2024,True,True,Wants-based,Express,2.0
20.0,Male,High,Divorced,Bachelor's,Middle,Software & Apps,$399.58 ,6.0,In-Store,3.0,4.0,0.0,,Very Sensitive,1.0,8.0,Low,Tablet,Other,9/25/2024,True,False,Need-based,Standard,7.0
27.0,Female,High,Widowed,,Middle,Luxury Goods,$380.99 ,7.0,Mixed,1.0,2.0,1.0,Low,Somewhat Sensitive,0.0,,Medium,Desktop,Cash,12/9/2024,True,,Need-based,No Preference,8.0
36.0,Male,Middle,Married,High School,High,Food & Beverages,$79.00 ,10.0,Online,1.0,2.0,1.0,Medium,Very Sensitive,2.0,6.0,Low,Smartphone,Cash,9/14/2024,False,True,Planned,Standard,7.0
46.0,Female,Middle,Married,Bachelor's,Middle,Groceries,$113.88 ,2.0,Online,5.0,2.0,2.0,Medium,Not Sensitive,2.0,4.0,High,Tablet,PayPal,3/29/2024,False,False,Wants-based,Express,9.0
26.0,,Middle,Married,High School,Middle,Travel & Leisure (Flights,$121.57 ,,Mixed,1.0,5.0,0.0,High,Not Sensitive,0.0,4.0,High,Desktop,Other,6/6/2024,,True,Impulsive,No Preference,13.0
21.0,Female,High,Divorced,High School,Middle,Health Supplements,$215.54 ,11.0,Online,3.0,1.0,2.0,Low,Somewhat Sensitive,2.0,6.0,High,Desktop,Credit Card,4/8/2024,True,True,Planned,No Preference,10.0
43.0,,High,Married,Bachelor's,High,Furniture,$87.03 ,10.0,Mixed,1.0,1.0,0.0,Low,,1.0,5.0,High,Desktop,,8/11/2024,False,True,Need-based,,
19.0,Male,High,Divorced,High School,High,Travel & Leisure (Flights,$111.75 ,4.0,In-Store,1.0,4.0,0.0,High,Not Sensitive,1.0,6.0,High,Tablet,Debit Card,10/10/2024,False,,Impulsive,Standard,8.0
41.0,Female,High,Widowed,Master's,High,Office Supplies,$136.20 ,2.0,Mixed,3.0,2.0,2.0,Low,Not Sensitive,0.0,1.0,High,Tablet,PayPal,,True,True,Need-based,Express,9.0
48.0,Male,Middle,Married,High School,Middle,Food & Beverages,$439.31 ,,In-Store,3.0,2.0,1.0,Medium,Very Sensitive,0.0,6.0,Medium,Smartphone,Debit Card,8/11/2024,False,True,Wants-based,No Preference,7.0
19.0,Female,Middle,Married,Bachelor's,Middle,Health Care,,9.0,Online,4.0,4.0,1.0,,Somewhat Sensitive,0.0,4.0,,Tablet,Other,3/28/2024,True,True,Impulsive,No Preference,5.0
29.0,Male,Middle,Widowed,Master's,High,Food & Beverages,$377.67 ,8.0,,5.0,3.0,0.0,,Very Sensitive,2.0,1.0,High,Desktop,PayPal,5/13/2024,True,False,Need-based,No Preference,14.0
26.0,,High,Single,Master's,High,Beauty & Personal Care,$108.61 ,10.0,In-Store,3.0,2.0,0.0,,Very Sensitive,0.0,3.0,Low,Smartphone,Cash,11/23/2024,True,True,Need-based,No Preference,14.0
20.0,Female,Middle,Married,Bachelor's,Middle,Health Care,$366.77 ,7.0,Mixed,4.0,3.0,2.0,Low,Not Sensitive,0.0,9.0,,Smartphone,Debit Card,9/18/2024,False,False,Impulsive,Standard,1.0
31.0,Female,High,Divorced,Master's,Middle,Jewelry & Accessories,$178.04 ,5.0,In-Store,5.0,1.0,2.0,,Somewhat Sensitive,0.0,5.0,High,Tablet,Credit Card,7/16/2024,False,False,Need-based,No Preference,12.0
23.0,Female,High,Divorced,High School,High,Toys & Games,$461.09 ,8.0,Online,4.0,1.0,0.0,Medium,Somewhat Sensitive,0.0,4.0,Medium,Smartphone,Debit Card,8/3/2024,True,False,Need-based,No Preference,8.0
19.0,Female,High,,High School,Middle,Hotels,$211.16 ,5.0,In-Store,2.0,3.0,1.0,High,Very Sensitive,0.0,3.0,,Smartphone,PayPal,6/28/2024,,False,Planned,Standard,2.0
23.0,Female,Middle,Widowed,Bachelor's,High,Animal Feed,$421.95 ,8.0,Mixed,3.0,5.0,0.0,Medium,Not Sensitive,1.0,1.0,,Smartphone,Other,3/18/2024,False,True,Need-based,No Preference,7.0
49.0,Female,,Divorced,Bachelor's,High,Furniture,$378.59 ,5.0,Online,2.0,1.0,0.0,,Somewhat Sensitive,0.0,4.0,,Desktop,Other,10/15/2024,False,False,Wants-based,No Preference,14.0
,Non-binary,High,Divorced,High School,High,Office Supplies,$268.93 ,,Mixed,5.0,,1.0,Medium,Very Sensitive,1.0,3.0,,,,11/23/2024,False,False,Impulsive,,8.0
42.0,Male,Middle,Divorced,Bachelor's,High,Health Care,,11.0,Online,5.0,4.0,0.0,Medium,Not Sensitive,,8.0,Low,Desktop,Other,11/29/2024,False,False,Wants-based,No Preference,7.0
18.0,Female,High,Widowed,Bachelor's,High,Beauty & Personal Care,$160.82 ,7.0,In-Store,3.0,1.0,1.0,High,Somewhat Sensitive,0.0,1.0,High,Smartphone,Cash,7/9/2024,True,True,Wants-based,No Preference,3.0
35.0,Male,High,Single,Master's,Middle,Hotels,$494.18 ,6.0,Mixed,4.0,5.0,1.0,Medium,Not Sensitive,1.0,2.0,,Desktop,Cash,8/3/2024,False,False,Need-based,Standard,14.0
22.0,,Middle,,Bachelor's,,Home Appliances,$177.05 ,5.0,Online,3.0,1.0,1.0,,Somewhat Sensitive,2.0,1.0,Low,Tablet,,12/4/2024,True,True,Impulsive,Standard,1.0
28.0,Female,Middle,Married,Master's,High,Food & Beverages,$450.66 ,7.0,In-Store,2.0,5.0,0.0,High,Somewhat Sensitive,2.0,4.0,Medium,Tablet,Credit Card,6/13/2024,False,True,Need-based,No Preference,9.0
42.0,Female,High,Married,Bachelor's,Middle,Arts & Crafts,$164.27 ,6.0,Online,5.0,3.0,2.0,High,Not Sensitive,2.0,7.0,Low,Desktop,PayPal,7/13/2024,True,False,Wants-based,No Preference,14.0
37.0,Female,Middle,Widowed,Master's,High,Food & Beverages,$346.36 ,12.0,Mixed,4.0,5.0,0.0,Medium,Somewhat Sensitive,0.0,7.0,Medium,,Credit Card,9/4/2024,False,,Need-based,Standard,14.0
33.0,Female,Middle,Widowed,,High,Animal Feed,,9.0,Mixed,4.0,2.0,1.0,Medium,Not Sensitive,1.0,5.0,Medium,Tablet,Credit Card,8/26/2024,True,True,Impulsive,Standard,3.0
46.0,Female,Middle,Widowed,High School,Middle,Travel & Leisure (Flights,$163.41 ,2.0,In-Store,5.0,,2.0,Low,Not Sensitive,1.0,8.0,High,Desktop,Other,2/25/2024,True,True,Need-based,Express,4.0
30.0,Female,Middle,Divorced,Master's,Middle,Hotels,$467.58 ,10.0,Mixed,1.0,2.0,0.0,,Somewhat Sensitive,1.0,6.0,Low,Desktop,PayPal,,True,True,Wants-based,Standard,7.0
39.0,Female,Middle,Widowed,Bachelor's,High,Books,$247.51 ,10.0,Mixed,2.0,1.0,2.0,Low,Somewhat Sensitive,1.0,8.0,Low,Tablet,Credit Card,7/1/2024,True,False,Impulsive,Standard,2.0
25.0,Female,Middle,Single,High School,High,Office Supplies,$365.10 ,3.0,In-Store,2.0,3.0,0.0,,Not Sensitive,1.0,3.0,High,Desktop,Debit Card,8/30/2024,False,True,Wants-based,,1.0
38.0,Female,High,Single,Master's,Middle,Health Care,$485.42 ,5.0,Online,1.0,2.0,2.0,High,Somewhat Sensitive,1.0,6.0,High,Desktop,Other,11/13/2024,True,False,Wants-based,,4.0
41.0,Female,Middle,Widowed,,High,,$250.54 ,4.0,In-Store,3.0,3.0,1.0,High,Not Sensitive,2.0,,,Desktop,Credit Card,12/27/2024,False,False,Wants-based,No Preference,3.0
49.0,Female,Middle,Divorced,High School,,Jewelry & Accessories,,5.0,Mixed,5.0,4.0,0.0,Low,Somewhat Sensitive,1.0,2.0,,Desktop,Debit Card,8/7/2024,True,True,Planned,No Preference,1.0
21.0,Male,High,Divorced,Bachelor's,Middle,Gardening & Outdoors,$162.31 ,8.0,In-Store,5.0,1.0,1.0,High,Very Sensitive,1.0,2.0,Medium,Tablet,Credit Card,10/5/2024,False,False,Need-based,No Preference,11.0
37.0,Male,Middle,Widowed,Master's,High,Office Supplies,$328.21 ,7.0,Mixed,5.0,5.0,2.0,Low,Not Sensitive,2.0,2.0,Low,Smartphone,Credit Card,,False,False,Need-based,No Preference,12.0
30.0,,High,Married,Master's,,Sports & Outdoors,$268.59 ,4.0,Online,3.0,3.0,1.0,High,Very Sensitive,1.0,1.0,Medium,Desktop,Debit Card,4/5/2024,True,,Need-based,Standard,
18.0,Female,High,Divorced,High School,High,Electronics,$257.37 ,7.0,Online,3.0,3.0,0.0,Medium,Very Sensitive,2.0,5.0,Medium,Smartphone,PayPal,2/1/2024,True,False,Wants-based,Express,13.0
41.0,Female,,Single,High School,High,Office Supplies,$205.49 ,4.0,In-Store,5.0,,2.0,Low,Somewhat Sensitive,2.0,2.0,High,Tablet,Cash,11/9/2024,True,False,Need-based,Express,11.0
,Male,High,Divorced,Master's,High,Mobile Accessories,$407.91 ,7.0,In-Store,2.0,5.0,0.0,Low,,0.0,5.0,,Tablet,Other,6/17/2024,True,True,Need-based,Standard,14.0
33.0,Female,High,Divorced,Bachelor's,High,Food & Beverages,$254.73 ,6.0,Online,4.0,3.0,0.0,Medium,Very Sensitive,0.0,3.0,Low,Smartphone,Other,6/1/2024,True,True,Impulsive,Express,3.0
30.0,Female,Middle,Divorced,Bachelor's,High,Clothing,$397.78 ,12.0,Online,3.0,3.0,1.0,Medium,Not Sensitive,2.0,7.0,,Smartphone,PayPal,9/24/2024,False,True,Impulsive,No Preference,11.0
33.0,Female,High,Married,Bachelor's,High,Electronics,$305.29 ,3.0,Online,2.0,3.0,1.0,Medium,Very Sensitive,1.0,,Medium,Desktop,Debit Card,9/5/2024,True,True,Impulsive,Standard,10.0
45.0,Male,Middle,Divorced,High School,High,Food & Beverages,$257.86 ,6.0,Online,2.0,2.0,0.0,,Somewhat Sensitive,0.0,4.0,High,Tablet,PayPal,6/12/2024,True,True,Need-based,Express,1.0
